config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,HS,100,0.001,Adam,ReduceLROnPlateau,0.6640525809442154,0.623922068827531,0.40816326530612246,0.6823529411764706,0.78125
config1_epochs100_lr0.001_optAdam_schedStepLR,HS,100,0.001,Adam,StepLR,0.6713034378157722,0.6427350427350428,0.46153846153846156,0.6666666666666666,0.8
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,HS,100,0.001,SGD,ReduceLROnPlateau,0.6904331523962696,0.59234360410831,0.5294117647058824,0.5333333333333333,0.7142857142857143
config3_epochs100_lr0.001_optSGD_schedStepLR,HS,100,0.001,SGD,StepLR,0.6844778470318726,0.5946439335227762,0.40816326530612246,0.6329113924050633,0.7428571428571429
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,HS,100,0.0001,Adam,ReduceLROnPlateau,0.6739283553277603,0.5848966358954059,0.45614035087719296,0.5588235294117647,0.7397260273972602
config5_epochs100_lr0.0001_optAdam_schedStepLR,HS,100,0.0001,Adam,StepLR,0.7026651658193029,0.6161714161082407,0.3829787234042553,0.6829268292682927,0.782608695652174
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,HS,100,0.0001,SGD,ReduceLROnPlateau,0.7760231214942355,0.4985661314775239,0.23809523809523808,0.5822784810126582,0.6753246753246753
config7_epochs100_lr0.0001_optSGD_schedStepLR,HS,100,0.0001,SGD,StepLR,0.8279052202147666,0.46479876712434853,0.23255813953488372,0.5384615384615384,0.6233766233766234
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,HS,200,0.001,Adam,ReduceLROnPlateau,0.6583592939858485,0.6748393747602609,0.509090909090909,0.7341772151898734,0.78125
config9_epochs200_lr0.001_optAdam_schedStepLR,HS,200,0.001,Adam,StepLR,0.6819182938397533,0.5939101156492461,0.4444444444444444,0.5797101449275363,0.7575757575757576
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,HS,200,0.001,SGD,ReduceLROnPlateau,0.6917348203032908,0.6224031658531634,0.40816326530612246,0.6829268292682927,0.7761194029850746
config11_epochs200_lr0.001_optSGD_schedStepLR,HS,200,0.001,SGD,StepLR,0.690636629408056,0.6233499974751301,0.391304347826087,0.7073170731707317,0.7714285714285715
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,HS,200,0.0001,Adam,ReduceLROnPlateau,0.6335835306331364,0.6664238615534767,0.509090909090909,0.6842105263157895,0.8059701492537313
config13_epochs200_lr0.0001_optAdam_schedStepLR,HS,200,0.0001,Adam,StepLR,0.6690645488825712,0.593990808422971,0.4166666666666667,0.6329113924050633,0.7323943661971831
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,HS,200,0.0001,SGD,ReduceLROnPlateau,0.7561847459186207,0.5182339530165617,0.2608695652173913,0.5641025641025641,0.7297297297297297
config15_epochs200_lr0.0001_optSGD_schedStepLR,HS,200,0.0001,SGD,StepLR,0.8207542140676518,0.4404646882907753,0.05555555555555555,0.6086956521739131,0.6571428571428571
