config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,RGB,100,0.001,Adam,ReduceLROnPlateau,0.9603439708701288,0.49745227884905246,0.2711864406779661,0.5783132530120482,0.6428571428571429
config1_epochs100_lr0.001_optAdam_schedStepLR,RGB,100,0.001,Adam,StepLR,0.9381202128198411,0.5230680325715786,0.28,0.6595744680851063,0.6296296296296297
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,RGB,100,0.001,SGD,ReduceLROnPlateau,1.001777004713964,0.4454545454545455,0.21818181818181817,0.5,0.6181818181818182
config3_epochs100_lr0.001_optSGD_schedStepLR,RGB,100,0.001,SGD,StepLR,0.9836136637010959,0.4671763559693889,0.18867924528301888,0.5348837209302325,0.6779661016949152
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,RGB,100,0.0001,Adam,ReduceLROnPlateau,0.9892647031581763,0.4759168035030104,0.21428571428571427,0.5238095238095238,0.6896551724137931
config5_epochs100_lr0.0001_optAdam_schedStepLR,RGB,100,0.0001,Adam,StepLR,0.9873245521025225,0.47376301103923546,0.25806451612903225,0.5316455696202531,0.631578947368421
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,RGB,100,0.0001,SGD,ReduceLROnPlateau,1.0420148402753502,0.49583360109675895,0.31746031746031744,0.5384615384615384,0.631578947368421
config7_epochs100_lr0.0001_optSGD_schedStepLR,RGB,100,0.0001,SGD,StepLR,1.0242097702893345,0.46402425817630494,0.26666666666666666,0.49382716049382713,0.631578947368421
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,RGB,200,0.001,Adam,ReduceLROnPlateau,0.9015583090408884,0.45559536249191424,0.21818181818181817,0.5057471264367817,0.6428571428571429
config9_epochs200_lr0.001_optAdam_schedStepLR,RGB,200,0.001,Adam,StepLR,0.9290525080880734,0.5228099330170045,0.3103448275862069,0.6265060240963856,0.631578947368421
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,RGB,200,0.001,SGD,ReduceLROnPlateau,0.9435321173884652,0.5093828219981406,0.2711864406779661,0.5569620253164557,0.7
config11_epochs200_lr0.001_optSGD_schedStepLR,RGB,200,0.001,SGD,StepLR,0.9563271854863022,0.49501467589791853,0.2807017543859649,0.5747126436781609,0.6296296296296297
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,RGB,200,0.0001,Adam,ReduceLROnPlateau,0.9823976165116436,0.4742480819160419,0.23728813559322035,0.5783132530120482,0.6071428571428571
config13_epochs200_lr0.0001_optAdam_schedStepLR,RGB,200,0.0001,Adam,StepLR,0.9497216169280235,0.4813825229595839,0.25806451612903225,0.5679012345679012,0.6181818181818182
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,RGB,200,0.0001,SGD,ReduceLROnPlateau,1.045938571896216,0.43366647493049565,0.22950819672131148,0.475,0.5964912280701754
config15_epochs200_lr0.0001_optSGD_schedStepLR,RGB,200,0.0001,SGD,StepLR,1.053808573520545,0.4725108225108225,0.2857142857142857,0.55,0.5818181818181818
